EC,KO1,KO2,KO3,KO4,KO5,KO6,KO7,KO8,WT1,WT2,WT3,WT4,WT5,WT6,WT7,WT8
1.-.-.-,6989,15135,11161,12407,9601,15305,18691,26281,11073,7780,11988,13270,9234,7285,20699,19551
1.1.-.-,28,66,78,40,107,187,113,55,239,242,472,190,544,43,37,57
1.1.1.-,5097,7184,7510,8520,8897,5451,18399,19419,8747,8810,13612,12127,29119,189632,32309,15689
1.1.1.1,5231,9606,13511,9773,4448,5372,5000,13954,5227,1208,12816,9373,6776,1847,9160,9305
1.1.1.100,2034,6627,2535,2929,2688,3418,2151,1701,16573,50633,21667,12135,3159,620,25458,81406
1.1.1.103,612,799,584,695,108,489,505,498,518,168,942,989,619,172,340,226
1.1.1.11,10,0,0,19,0,0,0,0,27,0,0,0,0,0,6,0
1.1.1.127,0,0,0,8,0,0,0,15,0,0,0,0,0,0,7,0
1.1.1.130,41,139,81,119,0,103,0,0,4,6,9,0,0,0,0,39
1.1.1.133,40,20,3,19,28,33,15,5,18,42,103,4,49,7,22,42
1.1.1.136,52,60,291,115,44,1192,2308,2468,1258,1757,1664,1378,426,106,1771,1832
1.1.1.138,19,30,2,18,0,12,47,0,34,0,101,45,39,0,25,26
1.1.1.14,196,179,984,3297,33,133,50,24,1619,5275,197,2335,6809,196,226,1193
1.1.1.140,325,1,8,26,0,2,0,1,223,46,158,2,2,0,0,8
1.1.1.144,10,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0
1.1.1.146,1,21,8,1,1,105,31,45,9,2,20,7,3,0,0,2
1.1.1.157,6914,8915,8285,9753,1902,6817,6337,9792,6249,3270,6423,7878,2996,1827,9080,7989
1.1.1.169,55,129,20,26,71,45,35,48,10,15,31,9,39,3,30,3
1.1.1.17,0,14,2,0,0,0,0,5,29,4,73,0,0,0,43,138
1.1.1.175,32,57,0,111,0,0,0,0,0,0,0,0,0,0,0,0
1.1.1.179,0,87,0,0,248,7,1153,0,0,0,0,7,274,247,37,0
1.1.1.18,155,96,129,465,132,219,135,186,86,86,141,1291,57,53,571,400
1.1.1.188,0,2,50,46,0,0,5,12,0,17,1,24,0,0,0,7
1.1.1.193,3,29,2,79,2,31,2,2,7,20,49,4,25,16,31,95
1.1.1.2,20,20,19,11,32,109,0,123,2,33,50,5,50,1,1,16
1.1.1.200,10,19,1,0,2,0,2,5,0,2,0,0,0,1,6,12
1.1.1.202,0,1,0,0,0,8,0,8,0,6,6,0,0,0,10,14
1.1.1.205,4037,6334,8671,5808,5210,10391,7583,12705,5000,4087,8595,8774,8267,14822,9107,7409
1.1.1.22,100,3329,462,1179,2094,1711,446,1656,727,746,1654,459,3085,2033,698,1657
1.1.1.23,113,301,567,543,1825,997,813,1337,645,1189,1720,619,552,62,428,628
1.1.1.243,10,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0
1.1.1.244,17,6,1,0,0,0,1,2,289,460,311,261,18,132,243,489
1.1.1.25,7,36,177,4,107,169,574,667,721,903,687,887,94,25,1044,1092
1.1.1.251,0,0,0,2,25,12,0,49,2,0,11,1,1,0,7,28
1.1.1.26,27,171,96,54,10,42,13,25,0,28,87,25,38,2,41,97
1.1.1.261,0,0,0,30,49,10,5,323,0,0,0,0,0,0,0,0
1.1.1.262,267,910,280,978,495,633,322,386,259,299,1172,989,1057,234,348,1385
1.1.1.267,342,5820,964,887,374,767,1021,1378,591,496,2298,548,890,159,654,1426
1.1.1.27,304,379,680,535,2251,260,1942,2800,1011,676,755,1489,5164,100074,5910,1287
1.1.1.271,38,218,113,169,1224,822,240,317,2516,10559,972,486,2088,853,1038,5397
1.1.1.28,660,575,1123,214,0,0,0,0,0,0,0,0,0,0,0,0
1.1.1.283,0,0,0,0,0,0,0,0,0,4,1,305,0,58332,14887,12
1.1.1.287,0,11,2,0,0,0,0,0,0,23,0,0,5,0,11,0
1.1.1.29,44,213,43,160,11,180,30,96,14,45,37,48,33,10,47,55
1.1.1.290,14,128,21,12,11,61,6,6,3,12,26,19,34,8,21,67
1.1.1.292,48,127,1045,1733,16,39,1,12,24,952,54,34,25,3,465,140
1.1.1.3,508,2731,1983,2726,871,1542,999,2437,1903,4492,2114,846,1667,279,1493,2157
1.1.1.30,0,0,10,28,17,0,0,0,34,5,0,40,26,0,0,0
1.1.1.301,1,47,9,27,3,79,11,12,59,1,112,59,46,53,21,242
1.1.1.304,18,30,294,118,16,0,0,36,0,21,2,0,47,27,88,52
1.1.1.305,0,0,0,0,41,0,11,31,0,0,0,0,0,0,0,0
1.1.1.312,64,75,13,109,9,19,15,93,19,0,59,53,8,1,72,2
1.1.1.316,0,20,0,2,3,5,1,2,0,33,1,0,10,1,0,0
1.1.1.330,0,0,0,0,74,0,42,35,0,0,0,0,0,0,0,0
1.1.1.335,0,0,0,0,0,148,0,0,0,20,37,0,104,16,0,83
1.1.1.336,86,665,67,369,136,195,9,28,54,222,759,24,848,7,91,15
1.1.1.35,0,34,253,0,10,32,140,83,29,9,113,48,16,0,3,73
1.1.1.350,10,0,0,0,0,58,0,13,14,3,63,12,0,0,5,29
1.1.1.36,17,1,20,1,0,7,1,13,5,0,1,5,8,0,22,3
1.1.1.366,4,0,13,0,0,39,0,47,0,0,0,1,0,1,14,69
1.1.1.369,96,1,19,24,0,39,2,131,0,0,0,0,2,0,0,0
1.1.1.37,4766,10580,9047,4832,40060,12651,9026,20399,5614,13623,7412,7105,7924,5975,11183,18901
1.1.1.38,1278,1787,4201,3506,6084,1301,10713,7068,4492,1217,3422,5708,7349,20418,6215,3935
1.1.1.39,0,18,36,61,42,21,0,1,7,77,1,71,8,3,20,93
1.1.1.40,3245,2200,4587,2344,7391,4352,4371,7146,550,1849,1528,1002,2803,1429,3427,9183
1.1.1.41,4,11,11,16,0,47,0,0,53,12,1,7,37,0,7,17
1.1.1.42,902,1476,1977,1381,997,2719,1961,2994,1792,4460,2786,2330,16345,80986,3181,6760
1.1.1.44,1453,991,1546,906,2788,262,1439,2593,91,150,115,122,50,18,920,183
1.1.1.47,35,13,9,22,2,0,1,0,24,0,33,11,0,0,5,5
1.1.1.49,1286,5838,172,323,1423,1294,1138,1827,2775,10784,5570,981,6255,3647,7619,24252
1.1.1.58,121,401,113,561,61,188,256,14,58,127,338,168,301,34,59,233
1.1.1.6,77,40,26,96,70,99,94,118,197,1,682,80,131,4,84,115
1.1.1.60,30,13,90,64,21,0,36,345,29,9,35,9,6,0,84,47
1.1.1.62,4,27,3,2,2,9,1,3,1,1,6,2,2,0,4,6
1.1.1.69,305,1232,494,1593,4225,486,2547,357,328,379,2097,1044,878,234,948,752
1.1.1.77,312,785,843,1023,337,259,637,245,415,940,1127,489,341,196,414,967
1.1.1.80,7,1181,307,669,123,15,307,65,799,216,2691,756,605,307,321,1080
1.1.1.83,0,0,0,0,1212,0,639,0,0,0,0,0,13,178,161,248
1.1.1.85,327,579,852,590,4852,698,1175,1820,461,410,839,418,394,359,873,1061
1.1.1.86,2944,3638,7119,3947,15731,5027,7981,10865,3842,4860,8171,4956,3420,40646,6722,11604
1.1.1.87,10,0,54,6,0,0,17,17,0,0,0,0,0,0,0,1
1.1.1.9,31,83,12,129,12,105,2525,3,28,102,531,41,716,12,11,220
1.1.1.94,362,978,507,361,865,1018,718,860,289,208,1745,313,407,138,299,588
1.1.1.95,2124,8147,4195,2612,1780,3697,2621,2650,2489,1246,4389,3725,2496,492,1574,3267
1.1.2.3,5,1,14,1,1,1,0,30,4,87,102,52,130,0,0,1
1.1.2.4,77,31,12,42,0,7,1,26,74,1,2,166,1,18,77,5
1.1.3.15,161,80,158,153,26,69,60,67,127,60,45,94,96,4,148,183
1.1.5.3,82,1737,454,477,6410,31298,972,3037,64,313,274,242,546,549,979,1089
1.1.5.4,7,0,14,9,0,1,0,0,13,3,6,0,1,0,0,0
1.1.99.-,37,2331,34,149,887,3418,39,48,34,217,146,90,301,51,52,723
1.1.99.2,0,37,0,7,0,35,1,0,0,0,3,0,20,0,0,56
1.10.3.-,578,1976,1400,2665,2909,4194,1403,5224,658,1531,2386,787,3729,552,1279,2559
1.10.3.10,132,3482,784,452,957,1488,709,444,759,786,1453,1547,2688,691,1059,2555
1.11.1.-,1861,3943,3150,2113,4301,2371,2965,3079,642,1106,1284,1024,4102,2210,3236,8251
1.11.1.1,35179,69024,62365,55999,40923,69975,66458,56447,25530,33873,44972,25542,69810,15114,39950,73811
1.11.1.15,3481,5815,3398,2917,16883,2508,6814,9096,1765,5872,1491,1375,1995,2190,11955,16660
1.11.1.22,0,0,0,0,0,0,7204,11694,0,0,0,0,0,2187,0,0
1.11.1.5,23,248,8,15,2,210,10,21,11,27,64,2,228,23,25,69
1.11.1.6,28013,30598,36930,8090,52416,22137,53717,70519,10929,9869,3435,10875,5868,10689,28141,51169
1.11.1.9,0,0,0,0,0,0,0,0,494,2027,691,95,179,335,340,1348
1.12.-.-,40,19,36,44,0,9,0,14,0,0,0,0,1,0,112,2
1.12.1.2,0,9,6,0,0,0,0,0,0,0,1,0,0,0,0,5
1.12.1.3,6243,11672,10898,19733,1661,8008,6657,10615,7341,4382,9969,11002,6398,925,8007,9093
1.12.2.1,28,67,10,120,8,139,21,56,632,2162,3395,741,3106,108,98,45
1.12.5.1,0,0,0,0,0,19,6,132,6,4,23,139,3,2,135,54
1.12.7.2,243,921,643,456,124,549,271,434,254,194,351,475,266,119,442,516
1.12.98.4,202,746,436,537,1481,333,306,1695,40,30,208,96,306,80,254,312
1.12.99.-,82,513,95,63,128,301,172,649,18,18,63,57,150,36,72,123
1.12.99.6,704,3192,233,558,292,680,685,575,64,45,625,52,1022,715,1621,3062
1.13.11.24,294,381,166,148,248,487,296,398,295,758,358,153,531,768,1038,862
1.13.12.16,506,1407,3131,1330,581,1536,587,1136,1387,1954,1603,1505,926,292,1027,860
1.14.13.48,10,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0
1.14.13.49,10,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0
1.15.1.1,6562,10738,7623,4376,12758,5309,11670,15193,6578,20579,11474,4174,17525,8249,13420,30827
1.15.1.2,1927,813,1196,683,145,190,378,300,794,211,295,551,597,146,752,668
1.16.-.-,132,2343,432,209,350,2474,2393,2628,69,116,60,193,607,795,543,245
1.16.3.1,2568,2394,2911,2110,3412,2823,1543,2489,1761,3769,3293,1920,3679,2700,4772,6667
1.17.1.2,10652,11613,18899,21355,4752,14677,17283,19799,14807,9575,16364,13030,18847,2612,16790,12317
1.17.1.4,1480,1476,4977,2094,255,882,1632,2953,1377,728,1362,2364,1820,75,2307,3866
1.17.1.5,110,0,4,0,0,1,0,5,1,0,23,140,5,0,18,8
1.17.1.8,175,297,236,819,144,864,115,465,222,708,297,834,305,209,1286,330
1.17.4.1,323,1923,441,488,3493,2093,6419,5889,641,1641,2635,1461,2763,833,3674,3890
1.17.4.2,3725,7943,9564,6996,8770,5281,16509,16719,6918,4521,7959,11121,16369,34337,15414,12029
1.17.5.2,97,370,193,291,25,47,246,71,211,63,24,140,117,1,347,311
1.17.7.1,262,1754,3371,673,6193,1526,3837,1521,3026,865,2014,1391,872,165,3795,863
1.17.99.5,5,56,186,106,45,25,97,54,91,27,66,86,19,11,71,8
1.18.1.1,0,0,8,31,0,0,0,0,0,0,0,7,0,0,0,0
1.18.1.2,5095,7531,9589,7622,7114,7166,12631,7237,9032,5101,12658,12338,20170,3320,8378,10597
1.2.-.-,804,9097,1226,3613,3240,8350,5898,11532,597,2632,5796,1461,3201,540,827,5193
1.2.1.10,5117,9357,13480,9556,3868,4795,4859,10499,5197,1081,12735,9280,6541,1720,6317,7433
1.2.1.11,1456,2177,3478,2150,2058,2066,2267,5882,1069,1616,2985,2338,1728,365,2999,3288
1.2.1.12,42274,75792,76117,82700,89273,66839,167878,137922,48761,41926,89390,90769,111450,164404,131894,103831
1.2.1.18,7,16,10,7,23,52,0,10,17,1,18,15,23,1,0,34
1.2.1.2,370,399,235,822,148,388,172,1061,0,168,203,161,31,22,385,190
1.2.1.21,5,1,5,10,4,0,6,14,0,0,0,0,0,0,0,0
1.2.1.22,5,1,5,10,4,0,6,14,0,0,0,0,0,0,0,0
1.2.1.27,7,16,10,7,23,52,0,10,17,1,18,15,23,1,0,34
1.2.1.3,121,247,141,260,91,200,93,127,23,190,198,273,1169,127133,1913,245
1.2.1.38,569,192,771,750,354,765,764,1068,244,323,244,1673,89,126,268,549
1.2.1.41,1086,912,3127,1333,517,362,5858,1610,680,355,745,793,2094,16152,1699,1357
1.2.1.59,24,7,2,18,11,3,16,19,33,15,74,87,483,1,81,27
1.2.1.68,0,0,0,0,349,0,556,319,0,0,0,0,30,0,904,0
1.2.1.70,0,10,0,11,0,0,0,0,13,4,64,11,0,0,3,0
1.2.1.81,11,9,13,5,3,10,2,17,9,5,4,6,10,6,2,5
1.2.1.88,162,792,229,131,79,348,71,180,176,662,2175,542,857,173,207,871
1.2.1.9,67,0,120,55,0,0,0,11,0,0,0,0,0,0,0,0
1.2.4.1,92,31,125,64,635,32,145,705,5,66,18,56,57,12,848,32
1.2.4.2,0,123,0,0,0,74,93,24,0,0,0,0,0,0,0,0
1.2.4.4,748,1467,173,87,408,386,496,813,1930,3684,1377,316,1739,2805,2878,4
1.2.5.1,79,864,29,44,114,311,225,197,0,0,0,0,0,1,0,2
1.2.7.-,37897,86417,84212,85961,52573,60514,76286,67666,49597,37271,85450,71633,81351,78678,68300,67657
1.2.7.1,745,760,1044,975,404,451,735,816,1478,308,612,3041,826,58,1246,860
1.2.7.3,671,1533,6763,871,660,3477,7020,5196,475,578,2120,778,1086,993,3666,7148
1.2.7.5,82,231,34,179,55,156,101,226,600,929,1782,652,2126,184,644,170
1.2.7.7,4002,7369,6665,10371,3521,5744,2758,2272,4497,3220,7055,6918,9103,1318,6234,6444
1.2.7.8,3571,6593,3779,6517,474,4413,1568,2050,5506,3140,8083,9745,7760,618,5451,7928
1.2.99.2,4163,4773,6544,17972,7317,6280,2142,4626,5761,1217,4717,5219,3382,552,3871,5961
1.2.99.7,1107,870,328,1460,5,294,165,349,207,38,92,515,113,15,288,196
1.2.99.8,0,0,70,0,0,64,0,43,138,27,298,0,33,0,0,0
1.21.4.1,3167,13238,12230,9876,1607,5131,8637,5081,9334,3193,14261,9688,8918,2215,2933,9831
1.21.4.2,27858,41177,36266,39693,3514,17239,33444,18423,40772,8703,31873,36826,20156,4881,25111,37464
1.21.4.3,13986,12695,17645,16328,1252,7600,3574,8885,18233,4678,12760,15062,8611,2093,11432,12607
1.21.4.4,14045,13148,17766,16556,1286,7359,3298,7973,18292,4700,12904,14736,9116,2103,11434,12777
1.21.99.-,21,99,29,57,40,200,13,10,19,49,103,12,154,0,17,95
1.3.-.-,0,0,0,0,0,85,247,14,66,18,33,1,8,18,16,64
1.3.1.-,25,53,77,8,13,94,22,25,10,14,66,40,12,1,1,0
1.3.1.1,183,188,56,141,0,55,12,388,37,8,107,75,57,1,696,717
1.3.1.12,9,33,0,12,6,33,188,122,14,135,91,25,5,8,184,180
1.3.1.14,2538,4680,492,2722,227,1198,1601,2981,767,1317,2844,1544,924,86,1148,1560
1.3.1.2,202,225,297,275,440,147,188,363,52,24,0,123,7,0,103,30
1.3.1.20,0,87,0,0,248,7,1153,0,0,0,0,7,274,247,37,0
1.3.1.22,32,1143,44,238,73,29,30,55,21,102,248,38,87,36,34,203
1.3.1.31,27,100,15,144,14,0,1,8,7,0,2,13,10,0,0,1
1.3.1.38,0,89,0,0,0,12,6,7,0,0,0,0,0,0,0,0
1.3.1.76,92,215,154,477,0,1,0,18,0,3,9,17,28,0,10,83
1.3.1.9,754,1327,607,622,3180,1086,485,700,119,263,1049,598,1209,225,1011,1392
1.3.1.95,3181,7627,1622,5981,1444,3231,1716,837,592,1724,3082,757,1947,712,2129,2559
1.3.1.98,473,304,660,519,242,217,473,121,288,327,194,160,257,143,450,199
1.3.5.1,1754,14961,2901,4026,5284,23358,3954,6190,2452,3425,8687,6067,6194,1623,2144,5541
1.3.5.2,2,100,2,31,28,75,15,15,0,26,32,22,30,10,3,76
1.3.5.4,173,306,377,167,284,290,171,694,79,60,169,134,22,80,240,349
1.3.8.1,11997,17941,24233,31054,23972,17099,93579,67185,17150,24454,32787,33391,34314,98463,41590,27771
1.3.8.6,2,8,1,1,2,4,1,2,8,1,1,17,2,0,5,0
1.3.8.7,6276,10,16,38,83,1046,361,1256,2111,761,2885,8567,9,7,24,6
1.3.8.8,0,7,8,0,0,0,0,1,2,0,0,1,0,0,0,5
1.3.98.1,2,2,7,16,39,27,26,9,4,8,11,9,21,0,9,4
1.3.99.-,1485,10661,7748,9051,985,6113,2687,4432,5018,3248,8315,10209,10588,4641,12149,7165
1.3.99.33,90,80,484,12,104,186,703,728,143,52,0,27,27,2,488,51
1.4.1.-,7,13,1,5,0,19,34,0,0,5,0,1,14,2,0,0
1.4.1.1,499,3515,539,1494,151,1607,592,281,3756,8107,10250,3947,7512,1413,466,1168
1.4.1.11,302,323,223,212,11,123,143,120,454,184,264,495,420,22,85,221
1.4.1.13,131,55,147,45,179,347,1074,1168,160,221,152,275,124,46,351,322
1.4.1.14,3,10,8,16,577,88,105,83,65,30,77,81,10,0,0,121
1.4.1.16,595,633,898,762,4463,699,1966,1138,288,513,647,393,652,2378,902,2020
1.4.1.2,16242,24269,15657,17019,9171,26238,9736,9037,21886,7963,15539,23964,14501,4545,22450,12411
1.4.1.3,464,1085,2181,976,12766,833,385,1133,763,276,1003,1445,606,152,1051,3513
1.4.1.4,13937,11609,24576,19465,7861,18435,8984,12263,12607,7783,12656,14423,12083,68809,13374,16613
1.4.3.16,130,1468,329,396,3408,1645,356,172,420,261,957,232,1634,91,2233,5706
1.4.3.5,5,12,1,2,13,15,5,11,0,0,0,1,7,0,0,0
1.4.4.2,913,7083,3097,3377,590,14457,2305,1819,1129,2693,7937,3644,5343,1291,1207,3064
1.4.7.1,427,295,826,525,4401,383,831,721,457,481,510,605,2297,18225,1618,698
1.5.-.-,3,25,5,16,3,26,0,9,2,2,13,1,15,9,7,0
1.5.1.2,185,468,687,193,2560,403,4342,1706,1047,264,420,607,378,1002,1597,730
1.5.1.20,250,804,416,20688,113,750,978,447,1666,528,875,217,291,42,893,575
1.5.1.3,444,449,557,1080,12,29,80,52,39,1479,11,1694,1300,132,108,32
1.5.1.39,16,33,61,75,20,594,56,29,2,19,42,28,68,19,15,95
1.5.1.43,961,4346,961,1993,8328,2957,956,3659,552,1436,2511,1725,2916,726,4209,5795
1.5.1.5,531,1523,1579,770,359,1640,995,1046,493,467,918,1094,1084,84,749,1697
1.5.3.1,1,29,1,0,2,1,4,0,42,0,2,19,0,1,0,0
1.5.5.2,6,122,5,7,5,60,7,3,49,365,238,83,40,10,60,259
1.6.-.-,33,212,42,17,115,61,54,115,0,0,0,0,5,0,0,6
1.6.1.2,73,76,41,137,26,205,154,189,11,126,50,27,26,9,1369,687
1.6.3.-,1374,1528,2057,2052,1009,871,2027,976,1826,1381,1799,1959,2306,9633,14645,7285
1.6.5.-,1292,13498,2460,2640,2311,15736,1952,2337,1685,3298,8720,4470,3984,802,1201,5389
1.6.5.2,185,38,0,40,0,9,0,45,0,1,0,2,0,0,4,1
1.6.5.3,18,133,36,85,111,367,77,19,56,24,1335,141,4002,20,45,92
1.6.99.-,98,0,87,38,475,0,63,210,2,0,2,0,1,9,43,51
1.6.99.1,134,147,148,242,52,166,81,51,45,135,101,67,199,45,62,343
1.6.99.3,15,21,30,61,0,221,301,393,39,7,125,11,3190,9,310,188
1.6.99.5,253,582,279,446,1027,1917,135,281,16,105,427,150,709,18,556,1917
1.7.-.-,1315,3435,1568,656,7740,1773,2238,2776,362,599,109,526,400,592,4054,9027
1.7.1.13,57,118,148,123,1699,129,17,374,31,9,41,77,30,10,101,246
1.7.1.7,9,12,32,18,52,0,0,0,0,6,0,9,0,0,7,22
1.7.2.2,399,1101,234,730,83,160,249,508,35,12,79,129,81,30,811,405
1.7.99.4,9,29,9,14,152,120,70,1453,13,10,80,135,281,41,1654,794
1.8.-.-,0,0,0,1,0,29,17,5,0,0,2,0,2,0,1,0
1.8.1.-,197,1765,730,2064,18,1152,539,287,38,39,224,91,501,636,521,97
1.8.1.14,531,3090,530,3974,7927,2733,1285,1113,1910,2720,10150,1331,20816,589,364,2717
1.8.1.19,4454,6963,9534,7472,3188,6076,6029,7093,8375,4681,11986,11275,19334,1294,7681,9372
1.8.1.2,0,66,0,0,0,25,6,3,0,0,0,0,0,0,0,0
1.8.1.4,946,7394,767,1846,815,4721,933,1193,445,1037,2712,451,4794,692,602,1943
1.8.1.8,37,408,16,20,6,1884,31,37,17,86,844,103,1321,35,99,1984
1.8.1.9,4795,9902,12909,17235,10084,13573,10179,17447,4065,4153,9003,7432,6420,2487,5903,8439
1.8.4.11,75,637,87,36,1052,124,755,1560,55,164,48,177,118,45,1837,387
