EC,KO1,KO2,KO3,KO4,KO5,KO6,KO7,KO8,WT1,WT2,WT3,WT4,WT5,WT6,WT7,WT8
2.5.1.47,2173,2526,3825,2172,4582,1259,2151,7437,902,634,878,2079,2768,2966,6194,5217
2.5.1.49,1290,1890,2784,2480,7171,1940,4724,5038,3565,1300,2745,4551,6924,82541,5770,4292
2.5.1.54,927,1855,2504,1273,15905,1527,16327,2630,1056,590,1212,934,17417,81956,1768,11098
2.5.1.55,502,281,46,281,792,259,76,169,201,139,243,171,588,208,334,478
2.5.1.6,2654,2918,4507,2669,2949,3945,3911,4633,2505,1927,4258,3670,2777,733,5042,5487
2.5.1.61,19,97,30,30,0,6,3,26,68,1,155,199,7,0,16,30
2.5.1.68,148,130,199,289,2,21,43,19,88,6,4,249,31,9,97,5
2.5.1.7,1025,4279,2776,2028,11712,7666,19861,14211,1955,1759,2999,2130,3374,682,8490,5776
2.5.1.72,89,600,135,130,85,1167,82,141,75,241,547,133,460,210,486,1179
2.5.1.74,1,5,0,0,0,2,1,1,10,13,31,4,11,5,20,63
2.5.1.75,389,959,1322,988,170,415,386,201,482,132,579,564,539,42,519,622
2.5.1.76,42,807,46,140,6,829,29,14,14,41,153,57,282,88,11,248
2.5.1.78,72,1964,146,286,12,1014,132,654,43,136,669,710,9509,7,723,52
2.5.1.84,158,185,77,818,181,1992,200,89,138,328,661,158,1526,133,49,552
2.5.1.88,8,0,6,0,10,0,0,0,0,0,0,0,2,0,0,0
2.5.1.9,122,150,110,232,331,468,139,412,33,767,1011,158,493,67,276,612
2.5.1.90,18,77,9,20,17,205,10,17,9,90,121,15,72,32,68,259
2.5.1.97,16,70,609,42,0,140,331,222,1449,773,1290,1113,683,0,136,893
2.6.-.-,22,5,22,6,0,7,17,0,3,0,9,0,0,0,0,0
2.6.1.-,751,2573,1725,1971,2202,1693,3596,3270,1148,1099,4636,1113,4322,296,1173,2444
2.6.1.1,4082,7834,6364,1844,6992,1947,2850,3452,1777,3972,3562,2533,2254,550,2475,2644
2.6.1.100,14,1,10,20,0,26,1,1,0,1,0,0,0,0,0,0
2.6.1.101,14,1,10,20,0,26,1,1,0,1,0,0,0,0,0,0
2.6.1.11,9584,10894,7166,10090,769,3956,1702,4491,9307,983,2585,17025,6704,1072,11015,5590
2.6.1.13,42,615,15,18,10,71,30,94,0,0,1,0,1,0,0,2
2.6.1.16,881,972,1305,927,16658,612,5749,1804,723,311,624,4908,36290,819,13349,1684
2.6.1.17,33,3,65,9,46,14,88,14,48,64,125,155,26,0,37,29
2.6.1.19,442,253,103,183,0,0,42,278,118,64,387,311,84,1,230,75
2.6.1.2,10,8,5,14,45,29,36,108,9,6,13,1,0,1,670,59
2.6.1.21,49,143,103,124,0,160,85,124,179,51,122,186,76,25,56,141
2.6.1.22,442,253,103,183,0,0,42,278,118,64,387,311,84,1,230,75
2.6.1.33,2,88,0,31,7,548,15,16,5,187,800,14,6,15,131,17
2.6.1.34,2,45,8,23,0,1,0,0,13,8,0,9,0,1,0,3
2.6.1.37,28,16,52,12,336,32,90,202,8,7,18,19,5,3,84,40
2.6.1.39,1288,864,989,402,0,0,0,0,0,0,3,0,0,0,0,0
2.6.1.42,1722,1832,4275,3190,1892,1856,2446,4042,1483,1103,2099,1809,3653,308,2723,2861
2.6.1.44,20,18,2,115,0,0,0,0,4,0,1,0,7,0,1,1
2.6.1.48,0,0,0,0,0,0,0,8,0,0,0,0,14,0,26,0
2.6.1.51,20,18,2,115,0,0,0,0,4,0,1,0,7,0,1,1
2.6.1.52,3091,4487,7721,5191,2512,5748,2825,3224,3143,2093,5834,6143,5202,1250,3279,4032
2.6.1.59,11,43,325,1050,139,150,309,311,162,169,288,156,114,22,186,558
2.6.1.62,22,313,27,65,24,493,184,342,135,36,190,32,75,11,7,190
2.6.1.63,7,0,205,19,0,21,1,0,7,16,39,5,0,1,7,114
2.6.1.7,7,0,205,19,0,21,1,0,7,16,39,5,0,1,7,114
2.6.1.76,246,415,322,204,0,110,146,351,65,9,712,24,30,5,186,147
2.6.1.77,1569,3200,1374,3177,321,1586,545,3211,25,96,54,15,26,9,4205,597
2.6.1.78,57,377,58,40,32,44,49,76,28,59,634,101,109,59,153,28
2.6.1.79,57,377,58,40,32,44,49,76,28,59,634,101,109,59,153,28
2.6.1.81,0,0,0,30,0,0,0,0,5,0,0,0,8,0,0,84
2.6.1.82,2646,304,958,244,31,79,320,357,60,16,38,148,201,32,388,24
2.6.1.83,294,1008,1176,1005,502,902,893,1513,11842,2917,13730,1470,792,138,13167,18990
2.6.1.88,22,0,6,0,0,5,2,11,1,0,0,4,1,0,0,11
2.6.1.9,46,267,442,238,293,590,2528,2140,506,905,961,843,420,52,945,1094
2.6.1.90,0,5,22,8,12,306,605,559,55,0,12,39,0,6,22,74
2.6.1.98,19,35,83,18,3,571,13,369,206,295,647,192,132,3,316,476
2.6.99.2,114,273,84,264,92,901,173,131,77,432,254,138,303,142,99,391
2.7.-.-,1621,1428,2123,796,987,1352,974,591,1077,644,1134,700,1961,333,1039,1383
2.7.1.-,967,5967,3420,4702,763,2057,7168,2507,2231,1738,6763,2476,4708,1603,1963,4745
2.7.1.1,10,29,9,4,6,7,19,28,0,0,0,0,0,0,0,0
2.7.1.100,0,0,0,0,0,0,11,0,0,0,0,0,102,1,128,0
